,age,job,marital,loan,day,duration,pdays,previous,poutcome,y
0,30,unemployed,married,no,19,79,-1,0,unknown,no
1,33,services,married,yes,11,220,339,4,failure,no
2,35,management,single,no,16,185,330,1,failure,no
3,30,management,married,yes,3,199,-1,0,unknown,no
4,59,blue-collar,married,no,5,226,-1,0,unknown,no
5,35,management,single,no,23,141,176,3,failure,no
6,36,self-employed,married,no,14,341,330,2,other,no
7,39,technician,married,no,6,151,-1,0,unknown,no
8,41,entrepreneur,married,no,14,57,-1,0,unknown,no
9,43,services,married,yes,17,313,147,2,failure,no
10,39,services,married,no,20,273,-1,0,unknown,no
11,43,admin.,married,no,17,113,-1,0,unknown,no
12,36,technician,married,no,13,328,-1,0,unknown,no
13,20,student,single,no,30,261,-1,0,unknown,yes
14,31,blue-collar,married,yes,29,89,241,1,failure,no
15,40,management,married,yes,29,189,-1,0,unknown,no
16,56,technician,married,no,27,239,-1,0,unknown,no
17,37,admin.,single,no,20,114,152,2,failure,no
18,25,blue-collar,single,no,23,250,-1,0,unknown,no
19,31,services,married,no,7,148,152,1,other,no
20,38,management,divorced,no,18,96,-1,0,unknown,no
21,42,management,divorced,no,19,140,-1,0,unknown,no
22,44,services,single,no,12,109,-1,0,unknown,no
23,44,entrepreneur,married,no,7,125,-1,0,unknown,no
24,26,housemaid,married,no,30,169,-1,0,unknown,no
25,41,management,married,no,20,182,-1,0,unknown,no
26,55,blue-collar,married,no,5,247,-1,0,unknown,no
27,67,retired,married,no,17,119,105,2,failure,no
28,56,self-employed,married,yes,30,149,-1,0,unknown,no
29,53,admin.,married,yes,21,74,-1,0,unknown,no
30,68,retired,divorced,no,14,897,-1,0,unknown,yes
31,31,technician,married,no,27,81,-1,0,unknown,no
32,59,management,married,no,21,40,-1,0,unknown,no
33,32,management,single,no,26,958,-1,0,unknown,yes
34,49,technician,married,no,13,354,-1,0,unknown,yes
35,42,admin.,divorced,no,14,150,-1,0,unknown,no
36,78,retired,divorced,no,22,97,-1,0,unknown,yes
37,32,blue-collar,married,no,14,132,-1,0,unknown,yes
38,33,management,married,no,6,765,342,2,failure,yes
39,23,services,single,no,30,16,-1,0,unknown,no
40,38,management,single,no,17,609,101,3,failure,no
41,36,management,single,no,11,106,-1,0,unknown,no
42,52,blue-collar,married,no,13,365,-1,0,unknown,no
43,32,technician,married,no,13,205,-1,0,unknown,no
44,32,technician,single,no,21,11,-1,0,unknown,no
45,34,management,single,no,7,105,-1,0,unknown,no
46,55,blue-collar,married,no,2,59,5,2,other,no
47,26,blue-collar,married,no,21,425,-1,0,unknown,no
48,32,entrepreneur,single,yes,4,204,-1,0,unknown,no
49,61,admin.,married,no,27,181,92,1,success,yes
50,45,blue-collar,divorced,no,5,1018,-1,0,unknown,yes
51,37,technician,single,no,20,1740,-1,0,unknown,no
52,38,technician,single,no,29,98,-1,0,unknown,no
53,34,technician,married,no,15,441,56,1,other,yes
54,53,blue-collar,married,no,14,272,-1,0,unknown,no
55,48,admin.,married,no,15,159,-1,0,unknown,no
56,57,management,married,yes,4,140,-1,0,unknown,no
57,33,self-employed,single,no,17,295,-1,0,unknown,no
58,36,retired,single,yes,26,314,-1,0,unknown,no
59,54,technician,divorced,yes,15,579,-1,0,unknown,no
60,41,blue-collar,married,yes,8,554,-1,0,unknown,no
61,63,retired,married,no,7,323,-1,0,unknown,no
62,48,management,married,no,13,227,-1,0,unknown,no
63,48,services,married,no,4,134,-1,0,unknown,no
64,56,admin.,married,no,7,223,-1,0,unknown,no
65,51,blue-collar,divorced,no,8,134,170,5,failure,no
66,31,services,married,no,28,155,-1,0,unknown,no
67,29,technician,married,no,21,130,-1,0,unknown,no
68,41,management,married,yes,7,630,-1,0,unknown,no
69,32,technician,single,no,19,164,-1,0,unknown,no
70,37,management,married,no,16,268,182,3,success,yes
71,42,entrepreneur,divorced,no,5,380,-1,0,unknown,no
72,31,management,single,no,9,154,-1,0,unknown,no
73,41,services,married,no,3,154,-1,0,unknown,no
74,56,retired,married,no,15,221,-1,0,unknown,no
75,54,management,divorced,no,14,67,-1,0,unknown,no
76,41,blue-collar,divorced,no,14,367,297,1,other,no
77,40,technician,single,yes,14,87,-1,0,unknown,no
78,50,blue-collar,divorced,no,5,701,-1,0,unknown,no
79,40,unemployed,married,no,17,204,196,1,failure,no
80,27,admin.,divorced,no,16,652,-1,0,unknown,yes
81,60,retired,married,no,26,63,-1,0,unknown,no
82,28,admin.,single,yes,6,150,-1,0,unknown,no
83,52,services,married,no,7,398,460,2,failure,yes
84,37,management,married,no,30,224,-1,0,unknown,yes
85,51,blue-collar,married,no,7,406,-1,0,unknown,no
86,41,technician,single,yes,7,60,-1,0,unknown,no
87,35,blue-collar,single,no,30,521,-1,0,unknown,no
88,38,admin.,married,no,17,279,-1,0,unknown,no
89,34,blue-collar,married,no,20,203,-1,0,unknown,no
90,39,blue-collar,married,no,18,201,-1,0,unknown,no
91,34,blue-collar,married,no,20,372,-1,0,unknown,no
92,27,services,single,no,18,391,-1,0,unknown,yes
93,32,management,single,no,14,165,-1,0,unknown,no
94,57,blue-collar,married,no,11,231,-1,0,unknown,no
96,41,admin.,married,no,14,149,-1,0,unknown,no
97,30,admin.,single,no,19,233,137,20,failure,no
98,36,blue-collar,divorced,no,12,473,182,1,success,no
99,31,unemployed,single,no,4,736,-1,0,unknown,yes
100,36,blue-collar,married,no,6,337,-1,0,unknown,no
101,38,management,single,no,11,553,367,7,failure,no
102,49,technician,married,no,21,345,-1,0,unknown,no
103,57,services,single,no,13,65,-1,0,unknown,no
104,34,management,single,no,13,9,-1,0,unknown,no
105,32,management,single,no,14,259,145,3,failure,no
106,37,blue-collar,married,yes,9,371,-1,0,unknown,no
107,33,self-employed,married,no,3,280,-1,0,unknown,no
108,56,unemployed,married,no,21,243,-1,0,unknown,yes
109,27,housemaid,married,no,23,435,-1,0,unknown,no
110,21,student,single,no,30,258,169,3,success,yes
111,58,management,married,no,29,7,-1,0,unknown,no
112,32,self-employed,married,yes,15,317,-1,0,unknown,no
113,33,blue-collar,single,no,30,76,207,1,failure,no
114,25,student,single,no,26,170,-1,0,unknown,yes
115,25,technician,single,yes,17,386,-1,0,unknown,yes
116,30,services,married,no,18,83,-1,0,unknown,no
117,22,admin.,single,yes,19,65,-1,0,unknown,no
118,39,blue-collar,married,no,13,69,-1,0,unknown,no
119,46,management,divorced,no,17,564,-1,0,unknown,no
120,31,admin.,divorced,no,21,588,-1,0,unknown,no
121,45,blue-collar,married,no,18,113,-1,0,unknown,no
122,32,technician,married,no,21,16,-1,0,unknown,no
123,36,blue-collar,married,yes,15,779,-1,0,unknown,no
124,51,management,single,no,11,281,266,6,failure,no
125,34,self-employed,single,no,21,1877,-1,0,unknown,yes
126,24,unemployed,single,no,15,51,-1,0,unknown,no
127,45,technician,single,yes,28,32,-1,0,unknown,no
128,32,blue-collar,single,no,5,176,288,3,failure,no
129,77,retired,divorced,no,14,161,-1,0,unknown,yes
130,41,blue-collar,married,no,18,187,-1,0,unknown,no
131,37,blue-collar,married,no,26,24,-1,0,unknown,no
132,43,blue-collar,married,no,30,67,-1,0,unknown,no
133,48,admin.,married,no,8,85,168,2,failure,no
134,27,technician,single,no,9,317,-1,0,unknown,no
135,33,management,single,no,28,236,-1,0,unknown,no
136,29,admin.,single,yes,7,54,345,2,failure,no
137,34,management,single,no,5,71,-1,0,unknown,no
138,52,management,married,no,4,489,-1,0,unknown,yes
139,60,management,married,no,19,39,-1,0,unknown,no
140,32,management,divorced,no,12,204,-1,0,unknown,no
141,32,management,single,no,22,455,-1,0,unknown,no
142,56,services,divorced,no,30,86,-1,0,unknown,no
143,31,management,single,no,18,190,-1,0,unknown,no
144,42,admin.,married,yes,8,280,-1,0,unknown,no
145,35,management,married,yes,11,588,-1,0,unknown,no
146,56,retired,married,yes,19,45,-1,0,unknown,no
147,48,technician,married,no,21,168,-1,0,unknown,no
148,46,admin.,married,no,29,194,436,1,other,no
149,37,technician,single,no,8,103,-1,0,unknown,no
150,41,entrepreneur,married,no,6,333,-1,0,unknown,no
151,36,management,single,yes,29,102,-1,0,unknown,no
152,45,unemployed,divorced,yes,1,92,-1,0,unknown,no
153,55,entrepreneur,married,no,6,213,-1,0,unknown,no
154,39,technician,married,no,26,289,-1,0,unknown,no
155,35,technician,divorced,no,22,77,-1,0,unknown,no
156,55,admin.,married,no,1,324,90,2,success,yes
157,55,technician,married,no,29,84,183,3,failure,no
158,27,self-employed,single,no,29,168,-1,0,unknown,no
159,34,technician,married,no,17,380,-1,0,unknown,no
160,34,blue-collar,married,no,4,10,-1,0,unknown,no
161,25,admin.,single,no,28,199,-1,0,unknown,no
162,41,admin.,single,yes,9,35,-1,0,unknown,no
163,43,services,married,yes,26,82,-1,0,unknown,no
164,28,management,single,no,20,676,146,2,failure,yes
165,31,admin.,single,no,3,455,-1,0,unknown,no
166,78,housemaid,married,no,16,80,-1,0,unknown,no
167,45,blue-collar,divorced,no,29,549,-1,0,unknown,no
168,48,technician,married,no,6,135,-1,0,unknown,no
169,32,blue-collar,single,yes,10,412,-1,0,unknown,no
170,42,technician,married,no,20,101,-1,0,unknown,no
171,37,management,single,no,28,253,-1,0,unknown,no
172,40,admin.,single,yes,6,272,335,4,other,no
173,32,admin.,married,no,17,84,-1,0,unknown,no
174,42,management,married,no,20,135,-1,0,unknown,no
175,43,admin.,married,yes,23,166,-1,0,unknown,no
176,44,admin.,married,yes,31,18,-1,0,unknown,no
177,37,admin.,married,no,5,147,347,1,failure,no
179,37,admin.,married,no,17,65,119,1,failure,no
180,28,technician,single,yes,2,194,-1,0,unknown,no
181,32,services,single,yes,11,333,-1,0,unknown,no
182,34,admin.,single,no,15,14,-1,0,unknown,no
183,40,admin.,divorced,no,11,140,-1,0,unknown,no
184,34,services,married,no,16,109,-1,0,unknown,no
185,34,self-employed,married,no,23,61,-1,0,unknown,no
186,34,admin.,married,no,19,377,7,4,success,no
187,37,services,single,no,2,96,271,2,other,no
188,36,technician,married,no,8,152,347,1,failure,no
189,56,retired,married,no,15,382,-1,0,unknown,yes
190,49,blue-collar,married,yes,23,97,-1,0,unknown,no
191,33,self-employed,married,no,29,543,-1,0,unknown,no
192,30,management,single,no,20,240,-1,0,unknown,no
193,36,services,married,no,17,48,-1,0,unknown,no
194,23,student,single,no,5,471,-1,0,unknown,no
195,57,retired,divorced,no,30,354,-1,0,unknown,no
196,27,blue-collar,single,no,30,435,-1,0,unknown,no
197,38,services,married,yes,21,152,-1,0,unknown,no
198,42,technician,married,no,3,285,-1,0,unknown,no
199,75,retired,married,no,15,185,181,2,success,yes
200,34,technician,single,no,4,301,88,2,success,no
201,48,technician,married,no,6,273,-1,0,unknown,no
202,35,technician,single,no,19,768,141,3,failure,yes
203,39,management,divorced,no,19,1337,126,1,failure,no
204,29,blue-collar,single,no,21,403,-1,0,unknown,yes
205,45,technician,single,no,18,139,-1,0,unknown,no
206,42,technician,married,yes,9,196,-1,0,unknown,no
207,29,technician,married,no,8,115,61,1,failure,no
208,38,services,single,no,2,60,271,1,failure,no
209,56,retired,married,no,28,17,-1,0,unknown,no
210,36,technician,single,no,13,141,-1,0,unknown,no
211,25,blue-collar,single,no,23,95,-1,0,unknown,no
212,38,technician,married,no,15,10,373,1,other,no
213,57,self-employed,married,no,19,198,-1,0,unknown,no
214,31,management,married,no,12,220,-1,0,unknown,no
215,42,management,married,no,3,654,-1,0,unknown,yes
216,45,technician,married,no,11,71,-1,0,unknown,no
217,30,blue-collar,married,no,13,256,351,2,failure,no
218,49,blue-collar,married,yes,10,834,-1,0,unknown,no
219,49,services,married,no,21,151,-1,0,unknown,no
220,53,retired,married,no,31,20,-1,0,unknown,no
221,37,technician,married,no,26,178,-1,0,unknown,no
222,49,blue-collar,married,no,26,59,-1,0,unknown,no
223,41,self-employed,married,no,13,111,-1,0,unknown,no
224,54,management,married,no,20,186,-1,0,unknown,no
225,32,services,single,no,6,227,-1,0,unknown,no
226,33,technician,married,no,15,297,-1,0,unknown,no
227,33,technician,married,no,20,210,242,1,other,no
228,36,blue-collar,married,no,18,9,-1,0,unknown,no
229,35,technician,married,yes,23,112,62,6,other,no
231,40,entrepreneur,married,no,9,222,-1,0,unknown,no
232,44,technician,single,no,13,195,351,10,failure,no
233,45,blue-collar,single,no,26,768,91,5,success,no
234,30,student,single,no,26,123,-1,0,unknown,no
